Type;Identification;Field;Locale;Market;Status;Default content;Translated content
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Pituus cm</td>
</tr>
<tr>
<td>35/36</td>
<td>23,4</td>
</tr>
<tr>
<td>37/38</td>
<td>24,7</td>
</tr>
<tr>
<td>39/40</td>
<td>26</td>
</tr>
<tr>
<td>41/42</td>
<td>27,4</td>
</tr>
<tr>
<td>43/44</td>
<td>28,7</td>
</tr>
<tr>
<td>45/46</td>
<td>30</td>
</tr>
</table>
<p></p>
</div>
</div>"
PRODUCT;'JC201;title;fi;;;RECYCLED COOL T-PAITA;Recycled Cool T-Paita
PRODUCT;'JC201;body_html;fi;;;"• 100 % kierrätettyä polyesteriä
• Paino: 140 g/m²
• Istutetut hihat
• Kapea kauluskanttaus
• Kaksoistikkaukset
• UPF 30+ UV-suoja
• Valmistusmaa Bangladesh
• Tullikoodi 6109902000

Koot: S - XXL";"• 100 % kierrätettyä polyesteriä
• Paino: 140 g/m²
• Istutetut hihat
• Kapea kauluskanttaus
• Kaksoistikkaukset
• UPF 30+ UV-suoja
• Valmistusmaa Bangladesh
• Tullikoodi 6109902000

Koot: S - XXL

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>48</td>
<td>70</td>
</tr>
<tr>
<td>M</td>
<td>51,5</td>
<td>72,5</td>
</tr>
<tr>
<td>L</td>
<td>55</td>
<td>75</td>
</tr>
<tr>
<td>XL</td>
<td>58,5</td>
<td>77,5</td>
</tr>
<tr>
<td>XXL</td>
<td>62</td>
<td>80</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2</td>
<td>2</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'JH001;title;fi;;;HOODIE HUPPARI;Hoodie Huppari
PRODUCT;'JH001;body_html;fi;;;"• 80 % rengaskehrättyä puuvillaa, 20 % polyesteriä
• Charcoal: 52 % rengaskehrättyä puuvillaa, 48 % polyesteriä
• Heather grey: 75 % rengaskehrättyä puuvillaa, 25 % polyesteriä
• Black smoke: 70 % rengaskehrättyä puuvillaa, 30 % polyesteriä
• Paino: 280 g/m²
• Kaksinkertaisessa hupussa kankaanvärinen nyöri
• Oikeanpuoleisessa taskussa läpivienti ja kauluksessa lenkit kuulokkeiden johdolle
• Irrotettava TearAway -tuotelappu

TULOSSA ELOKUUSSA!

Koot: XS - 5XL";"• 80 % rengaskehrättyä puuvillaa, 20 % polyesteriä
• Charcoal: 52 % rengaskehrättyä puuvillaa, 48 % polyesteriä
• Heather grey: 75 % rengaskehrättyä puuvillaa, 25 % polyesteriä
• Black smoke: 70 % rengaskehrättyä puuvillaa, 30 % polyesteriä
• Paino: 280 g/m²
• Kaksinkertaisessa hupussa kankaanvärinen nyöri
• Oikeanpuoleisessa taskussa läpivienti ja kauluksessa lenkit kuulokkeiden johdolle
• Irrotettava TearAway -tuotelappu

TULOSSA ELOKUUSSA!

Koot: XS - 5XL

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
<td>Hihanpituus cm</td>
</tr>
<tr>
<td>XS</td>
<td>49</td>
<td>64</td>
<td>57,5</td>
</tr>
<tr>
<td>S</td>
<td>51</td>
<td>67</td>
<td>59</td>
</tr>
<tr>
<td>M</td>
<td>56</td>
<td>70</td>
<td>60,5</td>
</tr>
<tr>
<td>L</td>
<td>61</td>
<td>73</td>
<td>62</td>
</tr>
<tr>
<td>XL</td>
<td>65</td>
<td>76</td>
<td>63,5</td>
</tr>
<tr>
<td>XXL</td>
<td>69</td>
<td>79</td>
<td>65</td>
</tr>
<tr>
<td>3XL</td>
<td>73</td>
<td>82</td>
<td>66,5</td>
</tr>
<tr>
<td>4XL</td>
<td>78</td>
<td>86</td>
<td>68,5</td>
</tr>
<tr>
<td>5XL</td>
<td>83</td>
<td>90</td>
<td>70,5</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2</td>
<td>2</td>
<td>2</td>
</tr>
</table>
<p>* Leveys tuotteen reunasta reunaan hihojen alapuolelta</p>
<p>** Pituus olkapään korkeimmasta kohdasta alareunaan</p>
</div>
</div>"
PRODUCT;'JH015;title;fi;;;HUPPARIMEKKO;Hupparimekko
PRODUCT;'JH015;body_html;fi;;;"Unelmien hupparimekko, jonka voit pukea vaikka farkkujen tai leggingsien kanssa. 

• 80 % rengaskehrättyä kampapuuvillaa, 20 % polyesteriä
• Paino: 280 g/m²
• Kengurutasku
• Hihansuissa ja helmassa resorit
• Pehmeä rento huppari
• Valmistusmaa Pakistan
• Tullikoodi 6110209900

Koot: XS - XXL";"Unelmien hupparimekko, jonka voit pukea vaikka farkkujen tai leggingsien kanssa. 

• 80 % rengaskehrättyä kampapuuvillaa, 20 % polyesteriä
• Paino: 280 g/m²
• Kengurutasku
• Hihansuissa ja helmassa resorit
• Pehmeä rento huppari
• Valmistusmaa Pakistan
• Tullikoodi 6110209900

Koot: XS - XXL

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>XS</td>
<td>50</td>
<td>86</td>
</tr>
<tr>
<td>S</td>
<td>53</td>
<td>88</td>
</tr>
<tr>
<td>M</td>
<td>56</td>
<td>90</td>
</tr>
<tr>
<td>L</td>
<td>59</td>
<td>92</td>
</tr>
<tr>
<td>XL</td>
<td>62</td>
<td>94</td>
</tr>
<tr>
<td>XXL</td>
<td>65</td>
<td>96</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2</td>
<td>2</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'JH043;title;fi;;;VARSITY BASEBALL COLLEGETAKKI;Varsity Baseball Collegetakki
PRODUCT;'JH043;body_html;fi;;;"Ilmeikäs nepparikiinnitteinen collegetakki. Raidalliset resorit hihansuissa, kauluksessa ja helmassa tuovat takkiin kivasti raikkautta.

• 70 % rengaskehrättyä puuvillaa, 30 % polyesteriä
• Paino: 330 g/m²
• Raidalliset resorit kauluksessa, helmassa ja hihansuissa
• Nepparikiinnitys
• Taskussa läpivienti ja kauluksen sisäpuolella lenkit kuulokkeiden johdolle
• Harjattu sisäpinta
• Unisex-malli
• Valmistusmaa Pakistan
• Tullikoodi 6103320000

Koot: XS - 3XL (Royal/white XS-XXL)";"Ilmeikäs nepparikiinnitteinen collegetakki. Raidalliset resorit hihansuissa, kauluksessa ja helmassa tuovat takkiin kivasti raikkautta.

• 70 % rengaskehrättyä puuvillaa, 30 % polyesteriä
• Paino: 330 g/m²
• Raidalliset resorit kauluksessa, helmassa ja hihansuissa
• Nepparikiinnitys
• Taskussa läpivienti ja kauluksen sisäpuolella lenkit kuulokkeiden johdolle
• Harjattu sisäpinta
• Unisex-malli
• Valmistusmaa Pakistan
• Tullikoodi 6103320000

Koot: XS - 3XL (Royal/white XS-XXL)

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
<td>Hihanpituus cm</td>
</tr>
<tr>
<td>XS</td>
<td>44</td>
<td>62</td>
<td>61</td>
</tr>
<tr>
<td>S</td>
<td>48</td>
<td>65</td>
<td>63</td>
</tr>
<tr>
<td>M</td>
<td>52</td>
<td>68</td>
<td>65</td>
</tr>
<tr>
<td>L</td>
<td>56</td>
<td>71</td>
<td>67</td>
</tr>
<tr>
<td>XL</td>
<td>60</td>
<td>74</td>
<td>69</td>
</tr>
<tr>
<td>XXL</td>
<td>64</td>
<td>77</td>
<td>71</td>
</tr>
<tr>
<td>3XL</td>
<td>68</td>
<td>80</td>
<td>73</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2</td>
<td>2</td>
<td>2</td>
</tr>
</table>
<p>* Leveys tuotteen reunasta reunaan hihojen alapuolelta</p>
<p>** Pituus olkapään korkeimmasta kohdasta alareunaan</p>
</div>
</div>"
PRODUCT;'JH050J;title;fi;;;LASTEN ZOODIE VETOKETJUHUPPARI;Lasten Zoodie Vetoketjuhuppari
PRODUCT;'JH050J;body_html;fi;;;"• 80 % rengaskehrättyä kampapuuvillaa, 20 % polyesteriä
• Paino: 280 g/m²
• Päällystetty vetoketju mahdollistaa ison etupainatuksen
• Valmistusmaa Pakistan
• Tullikoodi 6110209100

Koot: 104 - 152 cm";"• 80 % rengaskehrättyä kampapuuvillaa, 20 % polyesteriä
• Paino: 280 g/m²
• Päällystetty vetoketju mahdollistaa ison etupainatuksen
• Valmistusmaa Pakistan
• Tullikoodi 6110209100

Koot: 104 - 152 cm

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>3-4/104 cm</td>
<td>39</td>
<td>44</td>
</tr>
<tr>
<td>5-6/116cm</td>
<td>41</td>
<td>48</td>
</tr>
<tr>
<td>7-8/128cm</td>
<td>43</td>
<td>52</td>
</tr>
<tr>
<td>9-11/140cm</td>
<td>46</td>
<td>57</td>
</tr>
<tr>
<td>12-13/152cm</td>
<td>49</td>
<td>62</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2</td>
<td>2</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'JH201;title;fi;;;ORGANIC HUPPARI;Organic Huppari
PRODUCT;'JH201;body_html;fi;;;"Orgaanisesta puuvillasta ja kierrätetystä polyesteristä valmistettu huppari, jossa pehmeä harjattu sisäpinta. Puuvillainen päälipinta on ihanteellinen painamiseen.

• 80 % orgaanista puuvillaa, 20 % kierrätettyä polyesteriä
• 280 g/m²
• Harjattu sisäpinta
• Päälipinta puuvillaa, sopii hyvin painettavaksi
• Kengurutasku
• Valmistusmaa: Pakistan

Koot: S - 3XL";"Orgaanisesta puuvillasta ja kierrätetystä polyesteristä valmistettu huppari, jossa pehmeä harjattu sisäpinta. Puuvillainen päälipinta on ihanteellinen painamiseen.

• 80 % orgaanista puuvillaa, 20 % kierrätettyä polyesteriä
• 280 g/m²
• Harjattu sisäpinta
• Päälipinta puuvillaa, sopii hyvin painettavaksi
• Kengurutasku
• Valmistusmaa: Pakistan

Koot: S - 3XL

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>49</td>
<td>67</td>
</tr>
<tr>
<td>M</td>
<td>54</td>
<td>70</td>
</tr>
<tr>
<td>L</td>
<td>59</td>
<td>73</td>
</tr>
<tr>
<td>XL</td>
<td>63</td>
<td>76</td>
</tr>
<tr>
<td>XXL</td>
<td>67</td>
<td>79</td>
</tr>
<tr>
<td>3XL</td>
<td>71</td>
<td>82</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'JH250;title;fi;;;ORGANIC VETOKETJUHUPPARI;Organic Vetoketjuhuppari
PRODUCT;'JH250;body_html;fi;;;"Orgaanisesta puuvillasta ja kierrätetystä polyesteristä valmistettu vetoketjuhuppari, jossa pehmeä harjattu sisäpinta. Puuvillainen päälipinta on ihanteellinen painamiseen.

• 80 % orgaanista puuvillaa, 20 % kierrätettyä polyesteria
• 280 g/m²
• Harjattu sisäpinta
• Päälipinta puuvillaa, sopii hyvin painettavaksi
• Valmistusmaa Pakistan

Koot: S - XXL";"Orgaanisesta puuvillasta ja kierrätetystä polyesteristä valmistettu vetoketjuhuppari, jossa pehmeä harjattu sisäpinta. Puuvillainen päälipinta on ihanteellinen painamiseen.

• 80 % orgaanista puuvillaa, 20 % kierrätettyä polyesteria
• 280 g/m²
• Harjattu sisäpinta
• Päälipinta puuvillaa, sopii hyvin painettavaksi
• Valmistusmaa Pakistan

Koot: S - XXL

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>49</td>
<td>67</td>
</tr>
<tr>
<td>M</td>
<td>54</td>
<td>70</td>
</tr>
<tr>
<td>L</td>
<td>59</td>
<td>73</td>
</tr>
<tr>
<td>XL</td>
<td>63</td>
<td>76</td>
</tr>
<tr>
<td>XXL</td>
<td>67</td>
<td>79</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'JH305;title;fi;;;NAISTEN LYHYT HUPPARI;Naisten Lyhyt Huppari
PRODUCT;'JH305;body_html;fi;;;"• 80 % rengaskehrättyä puuvillaa, 20 % polyesteriä
• Paino 280 g/m²
• Leveä resori helmassa jossa sivuhalkiot
• Hihansuissa resorit
• Lyhyt, trendikäs malli
• Valmistusmaa: Pakistan

Koot: XS - XXL";"• 80 % rengaskehrättyä puuvillaa, 20 % polyesteriä
• Paino 280 g/m²
• Leveä resori helmassa jossa sivuhalkiot
• Hihansuissa resorit
• Lyhyt, trendikäs malli
• Valmistusmaa: Pakistan

Koot: XS - XXL

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
<td>Hihanpituus cm</td>
</tr>
<tr>
<td>XS</td>
<td>52</td>
<td>51</td>
<td>53</td>
</tr>
<tr>
<td>S</td>
<td>55</td>
<td>53</td>
<td>54</td>
</tr>
<tr>
<td>M</td>
<td>58</td>
<td>55</td>
<td>55</td>
</tr>
<tr>
<td>L</td>
<td>61</td>
<td>57</td>
<td>56</td>
</tr>
<tr>
<td>XL</td>
<td>64</td>
<td>59</td>
<td>57</td>
</tr>
<tr>
<td>XXL</td>
<td>67</td>
<td>61</td>
<td>58</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2</td>
<td>2</td>
<td>2</td>
</tr>
</table>
<p>* Leveys tuotteen reunasta reunaan hihojen alapuolelta</p>
<p>** Pituus olkapään korkeimmasta kohdasta alareunaan</p>
</div>
</div>"
PRODUCT;'JO835ILL;title;fi;;;ILLUUSIO KEITTIÖPYYHE;Illuusio KeittiöPyyhe
PRODUCT;'JO835ILL;body_html;fi;;;"Illuusio henkii suomalaisuutta. Keittiöpyyhkeestä voit löytää hauskalla tavalla piilotettuna suomalaista designia. Jotain vanhaa, jotain uutta - anna itsellesi löytämisen riemu!

Laadukasta kotimaista keittiöpyyhettä voi käyttää niin astiapyyhkeenä kuin leivinliinanakin. Yhdistä pyyhe käytännölliseen leikkuulautaan tai ekologiseen sieniliinaan.

• 50 % pellavaa, 50 % puuvillaa
• Koko: 65 x 45 cm
• Ripustuslenkki lyhyellä sivulla
• Suositellaan 60ºC pesua, jotta painovärit pysyvät kirkkaina 
• Kutistuvuus n. 3 %
• Kuosittelu kosteana
• Suomalainen design ja valmistus
• Suunnittelija: Johanna Oras";"Illuusio henkii suomalaisuutta. Keittiöpyyhkeestä voit löytää hauskalla tavalla piilotettuna suomalaista designia. Jotain vanhaa, jotain uutta - anna itsellesi löytämisen riemu!

Laadukasta kotimaista keittiöpyyhettä voi käyttää niin astiapyyhkeenä kuin leivinliinanakin. Yhdistä pyyhe käytännölliseen leikkuulautaan tai ekologiseen sieniliinaan.

• 50 % pellavaa, 50 % puuvillaa
• Koko: 65 x 45 cm
• Ripustuslenkki lyhyellä sivulla
• Suositellaan 60ºC pesua, jotta painovärit pysyvät kirkkaina 
• Kutistuvuus n. 3 %
• Kuosittelu kosteana
• Suomalainen design ja valmistus
• Suunnittelija: Johanna Oras"
PRODUCT;'JO835K;title;fi;;;KALLARY KEITTIÖPYYHE;Kallary KeittiöPyyhe
PRODUCT;'JO835K;body_html;fi;;;"Kallary-tuotteet ovat samanaikaisesti sekä mielenkiintoa herättäviä, lumoavia sisustuselementtejä, että kauniita taideteoksia. Kallary yhdistää luonnon ja inhimillisyyden ja kuosissa voi nähdä yhdistelmän intohimoa, ihmisyyttä ja eksistenssin voimaa.

Laadukasta kotimaista keittiöpyyhettä voi käyttää niin astiapyyhkeenä kuin leivinliinanakin. Yhdistä pyyhe käytännölliseen leikkuulautaan tai kauniiseen tarjottimeen.

• 45 % pellavaa, 55 % puuvillaa
• Koko: 65 x 45 cm
• Ripustuslenkki lyhyellä sivulla
• Suositellaan 60ºC pesua, jotta painovärit pysyvät kirkkaina
• Kutistuvuus n. 3 %
• Kuosittelu kosteana
• Suomalainen design ja valmistus
• Suunnittelija: Johanna Oras";"Kallary-tuotteet ovat samanaikaisesti sekä mielenkiintoa herättäviä, lumoavia sisustuselementtejä, että kauniita taideteoksia. Kallary yhdistää luonnon ja inhimillisyyden ja kuosissa voi nähdä yhdistelmän intohimoa, ihmisyyttä ja eksistenssin voimaa.

Laadukasta kotimaista keittiöpyyhettä voi käyttää niin astiapyyhkeenä kuin leivinliinanakin. Yhdistä pyyhe käytännölliseen leikkuulautaan tai kauniiseen tarjottimeen.

• 45 % pellavaa, 55 % puuvillaa
• Koko: 65 x 45 cm
• Ripustuslenkki lyhyellä sivulla
• Suositellaan 60ºC pesua, jotta painovärit pysyvät kirkkaina
• Kutistuvuus n. 3 %
• Kuosittelu kosteana
• Suomalainen design ja valmistus
• Suunnittelija: Johanna Oras"
PRODUCT;'JO835MAA;title;fi;;;MAAGINEN HETKI KEITTIÖPYYHE;Maaginen Hetki KeittiöPyyhe
PRODUCT;'JO835MAA;body_html;fi;;;"Luonnon kiertokulku, luonnon maaginen hetki, on kaiken elämän alkulähde.

Laadukasta kotimaista keittiöpyyhettä voi käyttää niin astiapyyhkeenä kuin leivinliinanakin. Yhdistä pyyhe käytännölliseen leikkuulautaan, kauniiseen tarjottimeen tai ekologiseen sieniliinaan.

• 50 % pellavaa, 50 % puuvillaa
• Koko: 65 x 45 cm
• Ripustuslenkki lyhyellä sivulla
• Suositellaan 60ºC pesua, jotta painovärit pysyvät kirkkaina
• Kutistuvuus n. 3 %
• Kuosittelu kosteana
• Suomalainen design ja valmistus
• Suunnittelija: Johanna Oras";"Luonnon kiertokulku, luonnon maaginen hetki, on kaiken elämän alkulähde.

Laadukasta kotimaista keittiöpyyhettä voi käyttää niin astiapyyhkeenä kuin leivinliinanakin. Yhdistä pyyhe käytännölliseen leikkuulautaan, kauniiseen tarjottimeen tai ekologiseen sieniliinaan.

• 50 % pellavaa, 50 % puuvillaa
• Koko: 65 x 45 cm
• Ripustuslenkki lyhyellä sivulla
• Suositellaan 60ºC pesua, jotta painovärit pysyvät kirkkaina
• Kutistuvuus n. 3 %
• Kuosittelu kosteana
• Suomalainen design ja valmistus
• Suunnittelija: Johanna Oras"
PRODUCT;'JO835MAG;title;fi;;;MAGICAL WORLD KEITTIÖPYYHE;Magical World KeittiöPyyhe
PRODUCT;'JO835MAG;body_html;fi;;;"Magical World muistuttaa talven aistikkaasta tunnelmasta. Asetelman maagisuus piilee yksityiskohtien leikissä, jossa voi nähdä tuhansia tarinoita. Kuva on osa Johanna Oraksen upeasta teoksesta Magical World of Still Life.

Laadukasta kotimaista keittiöpyyhettä voi käyttää niin astiapyyhkeenä kuin leivinliinanakin. Yhdistä pyyhe kauniiseen tarjottimeen tai ekologiseen sieniliinaan.

• 50 % pellavaa, 50 % puuvillaa
• Koko: 65 x 45 cm
• Ripustuslenkki lyhyellä sivulla
• Suositellaan 60ºC pesua, jotta painovärit pysyvät kirkkaina
• Kutistuvuus n. 3 %
• Kuosittelu kosteana
• Suomalainen design ja valmistus
• Suunnittelija: Johanna Oras";"Magical World muistuttaa talven aistikkaasta tunnelmasta. Asetelman maagisuus piilee yksityiskohtien leikissä, jossa voi nähdä tuhansia tarinoita. Kuva on osa Johanna Oraksen upeasta teoksesta Magical World of Still Life.

Laadukasta kotimaista keittiöpyyhettä voi käyttää niin astiapyyhkeenä kuin leivinliinanakin. Yhdistä pyyhe kauniiseen tarjottimeen tai ekologiseen sieniliinaan.

• 50 % pellavaa, 50 % puuvillaa
• Koko: 65 x 45 cm
• Ripustuslenkki lyhyellä sivulla
• Suositellaan 60ºC pesua, jotta painovärit pysyvät kirkkaina
• Kutistuvuus n. 3 %
• Kuosittelu kosteana
• Suomalainen design ja valmistus
• Suunnittelija: Johanna Oras"
PRODUCT;'JO835MET;title;fi;;;METSÄN HENKI KEITTIÖPYYHE;MetsäN Henki KeittiöPyyhe
PRODUCT;'JO835MET;body_html;fi;;;"Mystinen Metsän henki -teos on syntynyt Johanna Oraksen siveltimestä. Maaginen metsä ja sen kuningas, hirvi, kertovat kiehtovaa tarinaa metsiemme ehtymättömästä lumovoimasta.

Laadukasta kotimaista keittiöpyyhettä voi käyttää niin astiapyyhkeenä kuin leivinliinanakin. Yhdistä pyyhe käytännölliseen leikkuulautaan.

• 50 % pellavaa, 50 % puuvillaa
• Koko: 65 x 45 cm
• Ripustuslenkki lyhyellä sivulla
• Suositellaan 60ºC pesua, jotta painovärit pysyvät kirkkaina
• Kutistuvuus n. 3 %
• Kuosittelu kosteana
• Suomalainen design ja valmistus
• Suunnittelija: Johanna Oras";"Mystinen Metsän henki -teos on syntynyt Johanna Oraksen siveltimestä. Maaginen metsä ja sen kuningas, hirvi, kertovat kiehtovaa tarinaa metsiemme ehtymättömästä lumovoimasta.

Laadukasta kotimaista keittiöpyyhettä voi käyttää niin astiapyyhkeenä kuin leivinliinanakin. Yhdistä pyyhe käytännölliseen leikkuulautaan.

• 50 % pellavaa, 50 % puuvillaa
• Koko: 65 x 45 cm
• Ripustuslenkki lyhyellä sivulla
• Suositellaan 60ºC pesua, jotta painovärit pysyvät kirkkaina
• Kutistuvuus n. 3 %
• Kuosittelu kosteana
• Suomalainen design ja valmistus
• Suunnittelija: Johanna Oras"
PRODUCT;'JO836K;title;fi;;;KALLARY SIENILIINA;Kallary Sieniliina
PRODUCT;'JO836K;body_html;fi;;;"Kallary-tuotteet ovat samanaikaisesti sekä mielenkiintoa herättäviä, lumoavia sisustuselementtejä, että kauniita taideteoksia. Kallary yhdistää luonnon ja inhimillisyyden ja kuosissa voi nähdä yhdistelmän intohimoa, ihmisyyttä ja eksistenssin voimaa.

Kotimainen biohajoava Kallary-sieniliina on kestävä, imukykyinen ja ympäristöystävällinen valinta kodin puhdistusliinaksi. Yhdistä sieniliina käytännölliseen leikkuulautaan tai kauniiseen tarjottimeen.

• 70 % selluloosaa, 30 % puuvillaa
• Koko: 20 x 17 cm
• Valmistettu uusiutuvista materiaaleista 
• Biohajoava
• Suunnittelija: Johanna Oras";"Kallary-tuotteet ovat samanaikaisesti sekä mielenkiintoa herättäviä, lumoavia sisustuselementtejä, että kauniita taideteoksia. Kallary yhdistää luonnon ja inhimillisyyden ja kuosissa voi nähdä yhdistelmän intohimoa, ihmisyyttä ja eksistenssin voimaa.

Kotimainen biohajoava Kallary-sieniliina on kestävä, imukykyinen ja ympäristöystävällinen valinta kodin puhdistusliinaksi. Yhdistä sieniliina käytännölliseen leikkuulautaan tai kauniiseen tarjottimeen.

• 70 % selluloosaa, 30 % puuvillaa
• Koko: 20 x 17 cm
• Valmistettu uusiutuvista materiaaleista 
• Biohajoava
• Suunnittelija: Johanna Oras"
PRODUCT;'JO837ILL;title;fi;;;ILLUUSIO LEIKKUULAUTA;Illuusio Leikkuulauta
PRODUCT;'JO837ILL;body_html;fi;;;"Illuusio henkii suomalaisuutta. Leikkuulaudasta voit löytää hauskalla tavalla piilotettuna suomalaista designia. Jotain vanhaa, jotain uutta - anna itsellesi löytämisen riemu!

Laadukas kotimainen leikkuulauta on koivuviilua ja voit yhdistää sen kauniiseen keittiöpyyhkeeseen tai ekologiseen sieniliinaan.

• Suomalaista koivuviilua
• Koko: 20 x 30 cm
• Suositellaan käsinpesua
• Suomalainen design ja valmistus
• Suunnittelija: Johanna Oras";"Illuusio henkii suomalaisuutta. Leikkuulaudasta voit löytää hauskalla tavalla piilotettuna suomalaista designia. Jotain vanhaa, jotain uutta - anna itsellesi löytämisen riemu!

Laadukas kotimainen leikkuulauta on koivuviilua ja voit yhdistää sen kauniiseen keittiöpyyhkeeseen tai ekologiseen sieniliinaan.

• Suomalaista koivuviilua
• Koko: 20 x 30 cm
• Suositellaan käsinpesua
• Suomalainen design ja valmistus
• Suunnittelija: Johanna Oras"
PRODUCT;'JO837JAM;title;fi;;;JA MINÄ OLEN VILJAA LEIKKUULAUTA;Ja Minä Olen Viljaa Leikkuulauta
